Temperature	Sex	Body mass (g)	MinVO2 (mL h-1)	MaxVO2 (mL h-1)	Scope	FactScope
10	Male	2.1	0.10414622	0.168311021	0.064164801	1.616103023
10	Female	2.28	0.120328553	0.20743245	0.087103897	1.723883857
10	Male	2.08	0.124522649	0.188090201	0.063567552	1.510489879
10	Female	2.87	0.089244064	0.186712896	0.097468832	2.092160393
10	Male	1.63	0.056500253	0.116055788	0.059555535	2.054075545
10	Female	3.1	0.145874937	0.197043159	0.051168222	1.35076774
10	Male	2.23	0.085848636	0.171745751	0.085897115	2.000564703
10	Female	2.81	0.130391635	0.246031805	0.11564017	1.886868011
10	Male	1.83	0.075765163	0.123135695	0.047370532	1.625228405
10	Female	2.65	0.088345329	0.199696117	0.111350788	2.260403796
10	Male	2.13	0.111411273	0.195172145	0.083760872	1.751816847
10	Female	3.68	0.128921425	0.23344274	0.104521315	1.810736579
15	Male	1.85	0.097381329	0.218907659	0.12152633	2.247942817
15	Female	3.22	0.159994463	0.354602359	0.194607896	2.216341443
15	Male	1.61	0.10323758	0.201349437	0.098111857	1.950350221
15	Female	2.32	0.144567338	0.305440596	0.160873258	2.112791176
15	Male	2.1	0.145227088	0.225327195	0.080100107	1.551550734
15	Female	3.52	0.21466592	0.394179202	0.179513282	1.836244906
15	Male	2.37	0.133843626	0.253126313	0.119282687	1.891209321
15	Female	2.35	0.159461024	0.283939655	0.124478631	1.780621044
15	Male	1.93	0.131118561	0.306636164	0.175517603	2.33861752
15	Female	3.24	0.204146373	0.339010649	0.134864276	1.660625384
15	Male	1.9	0.107313834	0.268410125	0.161096291	2.50116984
15	Female	2.16	0.100782182	0.24354268	0.142760498	2.416525175
20	Male	1.66	0.111004274	0.301737677	0.190733403	2.718252785
20	Female	2.13	0.150989167	0.378801691	0.227812524	2.508800456
20	Male	1.72	0.1242824	0.343969387	0.219686987	2.767643584
20	Female	3.41	0.256479095	0.531910399	0.275431304	2.073893777
20	Male	1.79	0.123867488	0.286429422	0.162561934	2.312385813
20	Female	2.39	0.212873489	0.460998332	0.248124843	2.165597671
20	Male	1.56	0.135498532	0.250909923	0.115411391	1.851753811
20	Female	3.17	0.292780345	0.567216986	0.274436641	1.937346532
20	Male	2.03	0.165574378	0.403164407	0.237590029	2.434944415
20	Female	2.84	0.23362006	0.49289489	0.25927483	2.109814072
20	Male	2.53	0.196938804	0.423670685	0.226731881	2.151280887
20	Female	3.56	0.248017701	0.651018082	0.403000381	2.62488556
25	Male	1.56	0.233604407	0.475142537	0.24153813	2.033962215
25	Female	2.71	0.385625825	0.770739845	0.38511402	1.998672794
25	Male	2.06	0.28422997	0.477628874	0.193398904	1.680431075
25	Female	3.56	0.399089696	0.607542775	0.208453079	1.522321376
25	Male	1.97	0.296633353	0.523521048	0.226887695	1.764875874
25	Female	3.78	0.480931269	0.988	0.507068731	2.054347604
25	Male	1.63	0.214843883	0.510440977	0.295597094	2.375869259
25	Female	2.63	0.297020155	0.756657177	0.459637022	2.547494385
25	Male	2.25	0.290142204	0.56189246	0.271750256	1.936610573
25	Female	1.72	0.236037356	0.551613913	0.315576557	2.336977173
25	Male	2.03	0.349036617	0.567016724	0.217980107	1.624519309
25	Female	2.79	0.386630566	0.64552031	0.258889744	1.669604958
