Sex	Treatment	MeanTp	LBTp	UBTp	TpRange	Activity
Male	Food	23.92972973	21.38	25.4	4.02	68
Female	Food	17.95405405	11.6	20.62	9.02	87
Female	Food	14.71621622	14.1	18	3.9	118
Female	Food	19	11.8	23.6	11.8	125
Female	Ctrl	16.89166667	10.3	21.3	11	149
Male	Food	17.72972973	11.9	20.2	8.3	97
Male	Ctrl	14.20277778	8.7	20.2	11.5	15
Male	Food	18.65675676	18	19.2	1.2	11
Female	Ctrl	13.39189189	9.6	18.66	9.06	115
Female	Food	14.49189189	12	16	4	24
Female	Ctrl	14.75405405	9.84	20.5	10.66	128
Male	Ctrl	20.62432432	17.8	23.9	6.1	35
Male	Ctrl	18.99189189	15.7	22.26	6.56	63
Female	Ctrl	15.93513514	8.3	25.9	17.6	157
Male	Ctrl	18.08108108	6.7	25.9	19.2	103
Female	Food	12.02702703	8	19.08	11.08	134
Female	Food	14.14054054	8.3	19.84	11.54	223
Male	Ctrl	20.02972973	14.76	22	7.24	48
Male	Food	18.37297297	18	18.84	0.84	48
Male	Food	16	16	16	0	0
Male	Ctrl	15.8	15.8	15.8	0	0
Female	Food	16.97027027	16.3	19.98	3.68	17
Female	Ctrl	14.88648649	9.2	20.3	11.1	27
Female	Ctrl	17.9972973	14	22	8	73
Male	Ctrl	16.28648649	10.46	21.7	11.24	107
Female	Food	15.65675676	8.3	20.84	12.54	103
Male	Food	16.30540541	10.16	18.5	8.34	65
Female	Ctrl	17.14594595	10.2	21.7	11.5	125
Male	Ctrl	22.54324324	19.9	24.7	4.8	90
Male	Food	21.67837838	20.3	22.1	1.8	14
Female	Ctrl	14.97297297	8.2	20	11.8	165
Female	Ctrl	15.80810811	8.7	22.24	13.54	151
Male	Ctrl	21.87297297	17.66	23.1	5.44	36
Male	Food	13.99189189	9.2	16.6	7.4	43
Female	Ctrl	20.82432432	18.3	24.7	6.4	9
Male	Ctrl	20.81081081	17.44	22.3	4.86	50
Female	Ctrl	14.5027027	8.3	19.2	10.9	113
Male	Ctrl	22.8027027	22.7	23.5	0.8	23
Female	Ctrl	15.41081081	8.8	18.5	9.7	24
Male	Food	22.92972973	22.6	25.1	2.5	14
Male	Ctrl	16.28648649	10.46	21.7	11.24	153
Male	Ctrl	17.62432432	11.9	21	9.1	131
Male	Food	18.62702703	12.7	23.3	10.6	77
Male	Food	15.03243243	9.7	18.4	8.7	110
Female	Food	13.53783784	13.8	13.8	0	13
Female	Ctrl	22.60540541	17.32	24.8	7.48	48
Male	Food	22.04594595	16.6	25.18	8.58	58
Male	Ctrl	17.31351351	15.28	18	2.72	54
